width,numbers
1,7.9192648680000275
2,12.55084057699787
3,21.029004213000007
4,23.34706053500122
5,32.81454443799885
6,35.50283470299837
7,43.54899857200144
8,45.27917802400043
9,50.84994143700169
10,56.03869503199894
11,62.18699575899882
12,65.50109939100003
13,69.89295906999905
14,73.64645581799778
15,78.32162579400028
16,84.77635892000035
17,83.51800216300035
18,89.30982795800082
19,93.49763270100084
20,94.39333941100267
21,99.9924003140004
22,100.65056164400085
23,104.82874153800003
24,104.30624818200158
25,112.18192756699864
26,110.71356643699983
27,116.26859139700173
28,117.31451908099916
29,122.7399634100002
30,124.71426055700067
31,124.93420775499908
32,129.41619912899841
33,133.36382716799926
34,134.50867320100224
35,139.44416448500124
36,139.10011051000038
37,147.01098334400012
38,146.83416177899926
39,145.86232177600323
40,150.93201569099983
41,152.93944487399858
42,156.9978055990032
43,158.82675447899965
44,159.96558235200064
45,162.53581167399898
46,165.04596593699898
47,166.01285859400014
48,167.55293960799827
49,167.1781811439978
50,173.758840434999
