Step,r_msmarco_bm_50_no_5000_ff - accuracy,r_msmarco_bm_50_no_5000_ff - accuracy__MIN,r_msmarco_bm_50_no_5000_ff - accuracy__MAX,r_msmarco_bm_10_no_5000_ff - accuracy,r_msmarco_bm_10_no_5000_ff - accuracy__MIN,r_msmarco_bm_10_no_5000_ff - accuracy__MAX,r_msmarco_bm_5_no_5000_ff - accuracy,r_msmarco_bm_5_no_5000_ff - accuracy__MIN,r_msmarco_bm_5_no_5000_ff - accuracy__MAX,r_msmarco_bm_1_no_5000_ff - accuracy,r_msmarco_bm_1_no_5000_ff - accuracy__MIN,r_msmarco_bm_1_no_5000_ff - accuracy__MAX
0,0.20532319391634982,0.20532319391634982,0.20532319391634982,0.18250950570342206,0.18250950570342206,0.18250950570342206,0.1596958174904943,0.1596958174904943,0.1596958174904943,0.1482889733840304,0.1482889733840304,0.1482889733840304
1,0.23193916349809887,0.23193916349809887,0.23193916349809887,0.19391634980988592,0.19391634980988592,0.19391634980988592,0.17490494296577946,0.17490494296577946,0.17490494296577946,0.1634980988593156,0.1634980988593156,0.1634980988593156
2,0.21673003802281368,0.21673003802281368,0.21673003802281368,0.19391634980988592,0.19391634980988592,0.19391634980988592,0.17110266159695817,0.17110266159695817,0.17110266159695817,0.1634980988593156,0.1634980988593156,0.1634980988593156
3,0.22433460076045628,0.22433460076045628,0.22433460076045628,0.17870722433460076,0.17870722433460076,0.17870722433460076,0.17110266159695817,0.17110266159695817,0.17110266159695817,0.1634980988593156,0.1634980988593156,0.1634980988593156
4,0.21673003802281368,0.21673003802281368,0.21673003802281368,0.18631178707224336,0.18631178707224336,0.18631178707224336,0.17490494296577946,0.17490494296577946,0.17490494296577946,0.1596958174904943,0.1596958174904943,0.1596958174904943
5,0.20912547528517111,0.20912547528517111,0.20912547528517111,0.17110266159695817,0.17110266159695817,0.17110266159695817,0.1634980988593156,0.1634980988593156,0.1634980988593156,0.1596958174904943,0.1596958174904943,0.1596958174904943
6,0.19771863117870722,0.19771863117870722,0.19771863117870722,0.16730038022813687,0.16730038022813687,0.16730038022813687,0.1596958174904943,0.1596958174904943,0.1596958174904943,0.1520912547528517,0.1520912547528517,0.1520912547528517
7,0.20912547528517111,0.20912547528517111,0.20912547528517111,0.17110266159695817,0.17110266159695817,0.17110266159695817,0.1634980988593156,0.1634980988593156,0.1634980988593156,0.155893536121673,0.155893536121673,0.155893536121673
8,0.20912547528517111,0.20912547528517111,0.20912547528517111,0.17490494296577946,0.17490494296577946,0.17490494296577946,0.1634980988593156,0.1634980988593156,0.1634980988593156,0.1520912547528517,0.1520912547528517,0.1520912547528517
9,0.21292775665399238,0.21292775665399238,0.21292775665399238,0.19011406844106463,0.19011406844106463,0.19011406844106463,0.17490494296577946,0.17490494296577946,0.17490494296577946,0.155893536121673,0.155893536121673,0.155893536121673
10,0.21292775665399238,0.21292775665399238,0.21292775665399238,0.19391634980988592,0.19391634980988592,0.19391634980988592,0.17110266159695817,0.17110266159695817,0.17110266159695817,0.1634980988593156,0.1634980988593156,0.1634980988593156
11,0.22813688212927757,0.22813688212927757,0.22813688212927757,0.20152091254752852,0.20152091254752852,0.20152091254752852,0.16730038022813687,0.16730038022813687,0.16730038022813687,0.1596958174904943,0.1596958174904943,0.1596958174904943
12,0.23574144486692014,0.23574144486692014,0.23574144486692014,0.19011406844106463,0.19011406844106463,0.19011406844106463,0.1634980988593156,0.1634980988593156,0.1634980988593156,0.155893536121673,0.155893536121673,0.155893536121673
13,0.25475285171102663,0.25475285171102663,0.25475285171102663,0.19771863117870722,0.19771863117870722,0.19771863117870722,0.18250950570342206,0.18250950570342206,0.18250950570342206,0.1634980988593156,0.1634980988593156,0.1634980988593156
14,0.2585551330798479,0.2585551330798479,0.2585551330798479,0.21292775665399238,0.21292775665399238,0.21292775665399238,0.17870722433460076,0.17870722433460076,0.17870722433460076,0.1634980988593156,0.1634980988593156,0.1634980988593156
15,0.2509505703422053,0.2509505703422053,0.2509505703422053,0.21292775665399238,0.21292775665399238,0.21292775665399238,0.17490494296577946,0.17490494296577946,0.17490494296577946,0.1520912547528517,0.1520912547528517,0.1520912547528517
