width,numbers
1,4.470123679000608
2,8.056728161000137
3,11.277991805000056
4,14.229207708000104
5,15.117607186000896
6,21.589651157000844
7,18.96421999300037
8,23.5718977359993
9,24.20623501099908
10,24.90112526899975
11,27.351052393998543
12,34.164416051000444
13,30.394520199999533
14,33.47774055099944
15,32.52378230600152
16,31.49737023200032
17,35.35971954199886
18,38.730207103000794
19,37.40281299800154
20,36.867244073999245
21,37.8705789730011
22,39.37196428900097
23,40.817834253999536
24,40.403737220998664
25,39.370945007000046
26,42.54566603800049
27,41.87153265000052
28,46.98280814199825
29,49.1453472230005
30,43.55751711100129
31,46.905291875998955
32,44.679558191999604
33,46.115349878000416
34,49.29170804400019
35,51.135313298000256
36,46.71736235299977
37,47.61672287900001
38,50.128853391999655
39,47.23316532699937
40,50.154253754999445
41,48.65133381600026
42,48.67264710699965
43,50.34521715400115
44,52.302356819000124
45,49.31103778800025
46,49.01031236500057
47,52.78903193299993
48,50.696705771999405
49,51.50757060700016
50,51.97796214000118
