Step,r_semeval_no_super_5000_ff - unique_paths,r_semeval_no_super_5000_ff - unique_paths__MIN,r_semeval_no_super_5000_ff - unique_paths__MAX,r_semeval_400_1.0_32_5000_ff - unique_paths,r_semeval_400_1.0_32_5000_ff - unique_paths__MIN,r_semeval_400_1.0_32_5000_ff - unique_paths__MAX,r_semeval_100_1.0_32_5000_ff - unique_paths,r_semeval_100_1.0_32_5000_ff - unique_paths__MIN,r_semeval_100_1.0_32_5000_ff - unique_paths__MAX,r_semeval_300_1.0_32_5000_ff - unique_paths,r_semeval_300_1.0_32_5000_ff - unique_paths__MIN,r_semeval_300_1.0_32_5000_ff - unique_paths__MAX,r_semeval_200_1.0_32_5000_ff - unique_paths,r_semeval_200_1.0_32_5000_ff - unique_paths__MIN,r_semeval_200_1.0_32_5000_ff - unique_paths__MAX
0,1258,1258,1258,0,0,0,0,0,0,0,0,0,0,0,0
1,2456,2456,2456,922,922,922,1174,1174,1174,927,927,927,1022,1022,1022
2,3623,3623,3623,1268,1268,1268,2105,2105,2105,1332,1332,1332,1616,1616,1616
3,4707,4707,4707,1534,1534,1534,2909,2909,2909,1667,1667,1667,2111,2111,2111
4,5804,5804,5804,1768,1768,1768,3654,3654,3654,1996,1996,1996,2544,2544,2544
5,6949,6949,6949,2001,2001,2001,4315,4315,4315,2342,2342,2342,2971,2971,2971
6,8058,8058,8058,2226,2226,2226,4853,4853,4853,2621,2621,2621,3395,3395,3395
7,9166,9166,9166,2449,2449,2449,5434,5434,5434,2891,2891,2891,3722,3722,3722
8,10242,10242,10242,2648,2648,2648,5927,5927,5927,3136,3136,3136,4036,4036,4036
9,11260,11260,11260,2829,2829,2829,6340,6340,6340,3332,3332,3332,4306,4306,4306
10,12277,12277,12277,3017,3017,3017,6840,6840,6840,3551,3551,3551,4630,4630,4630
11,13316,13316,13316,3197,3197,3197,7318,7318,7318,3780,3780,3780,4886,4886,4886
12,14330,14330,14330,3375,3375,3375,7720,7720,7720,3976,3976,3976,5183,5183,5183
13,15306,15306,15306,3521,3521,3521,8168,8168,8168,4162,4162,4162,5462,5462,5462
14,16202,16202,16202,3682,3682,3682,8526,8526,8526,4345,4345,4345,5698,5698,5698
15,17121,17121,17121,3828,3828,3828,8858,8858,8858,4509,4509,4509,5929,5929,5929
16,17998,17998,17998,3980,3980,3980,9147,9147,9147,4677,4677,4677,6135,6135,6135
17,18729,18729,18729,4117,4117,4117,9513,9513,9513,4839,4839,4839,6323,6323,6323
18,19460,19460,19460,4288,4288,4288,9820,9820,9820,4986,4986,4986,6554,6554,6554
19,20179,20179,20179,4432,4432,4432,10150,10150,10150,5123,5123,5123,6761,6761,6761
20,20781,20781,20781,4558,4558,4558,10478,10478,10478,5246,5246,5246,6938,6938,6938
21,21291,21291,21291,4659,4659,4659,10749,10749,10749,5403,5403,5403,7125,7125,7125
22,21822,21822,21822,4768,4768,4768,11052,11052,11052,5541,5541,5541,7301,7301,7301
23,22283,22283,22283,4894,4894,4894,11348,11348,11348,5679,5679,5679,7470,7470,7470
24,22744,22744,22744,4997,4997,4997,11663,11663,11663,5830,5830,5830,7703,7703,7703
25,23156,23156,23156,5125,5125,5125,11919,11919,11919,5984,5984,5984,7871,7871,7871
26,23642,23642,23642,5237,5237,5237,12164,12164,12164,6102,6102,6102,8045,8045,8045
27,24065,24065,24065,5354,5354,5354,12433,12433,12433,6212,6212,6212,8208,8208,8208
28,24453,24453,24453,5473,5473,5473,12685,12685,12685,6343,6343,6343,8367,8367,8367
